Prefixo;grupo;codigo_ativo;data_referencia;data_vencimento;percentual_taxa;taxa_compra;taxa_venda;taxa_indicativa;desvio_padrao;val_min_intervalo;val_max_intervalo;pu;percent_pu_par;duration;percent_reune;emissor
consultoria;IPCA SPREAD;ACRC21;2026-05-19;2044-07-15;IPCA + 7,4150%;8.8961;8.7295;8.7898;0.04;8.74;8.83;1140.858508;91.73;1668.0;10%;ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A. (*)
consultoria;DI SPREAD;AEGE16;2026-05-19;2034-03-11;DI + 3,9000%;6.0843;5.0;5.5442;0.16;5.37;5.7;977.337011;94.66;870.0;45%;EQUIPAV SANEAMENTO S.A. (*) (**)
consultoria;DI SPREAD;AEGE17;2026-05-19;2035-06-15;DI + 3,4000%;6.4503;5.0024;5.7687;0.35;5.41;6.12;982.601243;91.55;961.0;15%;EQUIPAV SANEAMENTO S.A. (*) (**)
consultoria;DI SPREAD;AEGPA9;2026-05-19;2029-06-25;DI + 2,7500%;4.0209;3.476;3.6915;0.18;3.5;3.87;1045.027404;98.14;517.0;10%;AEGEA SANEAMENTO E PARTICIPAÇÕES S/A (*)
consultoria;DI SPREAD;AERI11;2026-05-19;2030-03-30;DI + 3,0000%;;;;;;;117.060079;13.28;;10%;AERIS INDUSTRIA E COMERCIO DE EQUIPAMENTOS PARA GERACAO DE ENERGIA S.A
consultoria;IPCA SPREAD;AESLA5;2026-05-19;2033-10-15;IPCA + 6,1774%;7.9597;7.6746;7.8304;0.12;7.7;7.95;1048.335433;92.12;1330.0;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
consultoria;IPCA SPREAD;AESLA7;2026-05-19;2034-04-15;IPCA + 6,1409%;8.0458;7.7652;7.898;0.09;7.8;7.99;1009.444109;91.14;1413.0;--;RGE SUL DISTRIBUIDORA DE ENERGIA S/A (*)
consultoria;IPCA SPREAD;ALGTA4;2026-05-19;2033-11-15;IPCA + 6,3243%;9.0278;8.7126;8.8554;0.06;8.78;8.92;1003.723359;88.9;1249.0;10%;ALGAR TELECOM S/A (*)
consultoria;DI SPREAD;AMBP16;2026-05-19;2029-04-25;DI + 2,7500%;;;;;;;142.798606;11.98;;--;AMBIPAR PARTICIPACOES E EMPREENDIMENTOS S/A (*) (**)
consultoria;DI SPREAD;ANHBA5;2026-05-19;2030-11-05;DI + 0,4400%;0.7;0.5382;0.598;0.02;0.57;0.61;1000.60241;99.51;786.0;45%;CONCESSIONÁRIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A (*)
consultoria;DI SPREAD;ANIM17;2026-05-19;2029-05-15;DI + 1,6000%;1.6933;1.2819;1.4929;0.03;1.45;1.52;1003.44762;100.22;537.0;--;ANIMA HOLDING S/A (*)
consultoria;DI SPREAD;ARML13;2026-05-19;2029-11-04;DI + 2,2500%;2.4511;2.0995;2.2865;0.04;2.23;2.33;1005.992919;99.91;613.0;35%;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*) (**)
consultoria;DI SPREAD;ARML14;2026-05-19;2032-03-15;DI + 1,9000%;2.7299;2.3883;2.5555;0.12;2.42;2.68;1004.584364;97.83;857.0;15%;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*)
consultoria;DI SPREAD;ARML15;2026-05-19;2032-09-25;DI + 1,3500%;2.8026;1.8895;2.3276;0.11;2.21;2.43;985.74597;96.49;932.0;--;ARMAC LOCACAO LOGISTICA E SERVICOS S.A. (*)
consultoria;DI SPREAD;ASAI28;2026-05-19;2028-12-22;DI + 1,9500%;2.0121;1.6191;1.8026;0.07;1.72;1.88;1066.867663;100.3;526.0;--;SENDAS DISTRIBUIDORA S/A (*)
consultoria;DI SPREAD;ASAIA0;2026-05-19;2029-06-20;DI + 1,2500%;2.0513;1.7;1.865;0.05;1.81;1.91;1047.458115;98.74;524.0;45%;SENDAS DISTRIBUIDORA S/A (*)
consultoria;DI SPREAD;ASAIA1;2026-05-19;2029-09-25;DI + 1,2500%;2.0411;1.6699;1.8903;0.09;1.79;1.98;1006.390209;98.52;592.0;40%;SENDAS DISTRIBUIDORA S/A (*)
consultoria;DI SPREAD;ASAIA2;2026-05-19;2029-12-09;DI + 1,2500%;2.1139;1.7117;1.9081;0.09;1.81;2.0;1048.127197;98.27;675.0;40%;SENDAS DISTRIBUIDORA S/A (*)
consultoria;IPCA SPREAD;ASSR21;2026-05-19;2041-06-15;IPCA + 7,1071%;9.1305;8.8479;8.9617;0.12;8.83;9.08;877.925372;89.63;1559.0;--;ASSURUA 5 ENERGIA S.A (*)
consultoria;IPCA SPREAD;AURP12;2026-05-19;2035-04-15;IPCA + 7,4515%;8.2362;7.9933;8.1132;0.07;8.04;8.18;1016.837163;96.35;1518.0;50%;AUREN PARTICIPACOES S.A. (*)
consultoria;IPCA SPREAD;AXIA28;2026-05-19;2036-02-15;IPCA + 6,7116%;7.9658;7.7752;7.8426;0.02;7.81;7.87;960.858766;92.74;1786.0;--;CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS (*)
consultoria;IPCA SPREAD;BHSA11;2026-05-19;2044-03-15;IPCA + 6,8413%;8.3666;8.1455;8.2472;0.03;8.2;8.28;991.839032;90.57;1861.0;40%;BARREIRAS HOLDING S.A. (*)
consultoria;IPCA SPREAD;BRST15;2026-05-19;2032-12-15;IPCA + 8,0355%;8.6761;8.3434;8.4837;0.07;8.4;8.56;1041.068083;98.17;1116.0;5%;BRISANET SERVICOS DE TELECOMUNICACOES S.A. (*)
consultoria;IPCA SPREAD;CCROB6;2026-05-19;2036-01-15;IPCA + 6,4370%;7.987;7.6894;7.7962;0.06;7.73;7.85;1175.301686;93.19;1385.0;40%;MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A. (*)
consultoria;IPCA SPREAD;CDES11;2026-05-19;2038-12-15;IPCA + 8,0361%;7.9727;7.7637;7.8188;0.15;7.66;7.97;1124.954667;101.3;1624.0;--;VPORTS AUTORIDADE PORTUARIA S/A (*)
consultoria;IPCA SPREAD;CEAM11;2026-05-19;2045-12-15;IPCA + 7,5232%;12.2996;11.0934;12.0312;0.58;11.44;12.61;76.759689;72.45;1825.0;--;AMBIENTAL CEARA 2 SPE S.A. (*)
consultoria;IPCA SPREAD;CEAP17;2026-05-19;2036-12-15;IPCA + 7,9091%;8.3553;8.0533;8.1654;0.05;8.1;8.22;1092.334166;98.49;1612.0;5%;COMPANHIA DE ELETRICIDADE DO AMAPA - CEA (*)
consultoria;IPCA SPREAD;CEED19;2026-05-19;2037-06-15;IPCA + 7,0606%;8.2937;8.0592;8.1781;0.09;8.08;8.27;996.815806;93.14;1708.0;--;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*)
consultoria;DI SPREAD;CEED28;2026-05-19;2031-03-25;DI + 0,8000%;;;;;;;;;;--;COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D (*)
consultoria;IPCA SPREAD;CEPEB7;2026-05-19;2040-08-15;IPCA + 6,7392%;7.9495;7.7621;7.856;0.04;7.8;7.9;962.15448;91.32;2167.0;--;COMPANHIA ENERGÉTICA DE PERNAMBUCO - CELPE (*)
consultoria;IPCA SPREAD;CERR18;2026-05-19;2034-12-15;IPCA + 8,3082%;9.6749;9.3274;9.4784;0.04;9.43;9.52;1045.769697;94.22;1386.0;--;CERRADINHO BIOENERGIA S/A (*)
consultoria;IPCA SPREAD;CERT11;2026-05-19;2029-03-15;IPCA + 8,1773%;8.3447;8.1032;8.2134;0.06;8.14;8.27;1163.420918;99.9;706.0;50%;CONCESSIONARIA ECOVIAS RAPOSO-CASTELO S.A (*)
consultoria;IPCA SPREAD;CESE32;2026-05-19;2030-09-15;IPCA + 7,4941%;8.1089;7.9009;8.0237;0.08;7.94;8.1;1131.208975;98.37;840.0;15%;CELSE - CENTRAIS ELETRICAS DE SERGIPE S.A. (*)
consultoria;IPCA SPREAD;CGASA1;2026-05-19;2034-07-15;IPCA + 6,3763%;8.1484;7.9635;8.0267;0.03;7.98;8.06;1012.252439;90.75;1573.0;--;COMPANHIA DE GAS DE SÃO PAULO - COMGAS (*)
consultoria;DI SPREAD;CGBP14;2026-05-19;2032-03-25;DI + 1,0000%;1.1;0.8;0.9489;0.0;0.94;0.95;953.113838;100.15;773.0;--;ESSENTIA PCHS S.A (*)
consultoria;IPCA SPREAD;CGEE23;2026-05-19;2041-12-15;IPCA + 8,7219%;14.6182;12.3179;13.7793;0.54;13.23;14.32;838.932092;76.83;1368.0;--;COMPANHIA ESTADUAL DE GERACAO DE ENERGIA ELETRICA - CEEE-G (*)
consultoria;DI SPREAD;CGOS18;2026-05-19;2030-09-15;DI + 1,0000%;0.8076;0.6261;0.7421;0.02;0.71;0.76;1032.215573;100.67;666.0;--;EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A. (*)
consultoria;DI SPREAD;CHSF24;2026-05-19;2034-09-15;DI + 1,0500%;1.0937;0.6593;0.901;0.09;0.8;0.99;1032.269222;100.67;1150.0;--;COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF (*)
consultoria;IPCA SPREAD;CONX12;2026-05-19;2029-08-15;IPCA + 7,6840%;11.6633;11.1548;11.3154;0.17;11.13;11.49;1147.450296;94.91;391.0;--;TRIPLE PLAY BRASIL PARTICIPACOES S.A. (*)
consultoria;IPCA SPREAD;CPGT27;2026-05-19;2031-10-15;IPCA + 5,7138%;8.0305;7.7772;7.9283;0.06;7.86;7.98;1171.960161;92.24;976.0;15%;COPEL GERAÇÃO E TRANSMISSÃO S/A (*)
consultoria;IPCA SPREAD;CPIS14;2026-05-19;2037-08-15;IPCA + 7,3239%;8.3319;8.0859;8.209;0.08;8.12;8.29;996.815401;94.45;1739.0;--;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A (*)
consultoria;IPCA SPREAD;CPIS15;2026-05-19;2037-09-15;IPCA + 7,1962%;8.3505;8.1394;8.2445;0.04;8.19;8.29;978.037275;93.36;1763.0;--;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A (*)
consultoria;IPCA SPREAD;CPIS16;2026-05-19;2038-01-15;IPCA + 6,5700%;;8.0725;8.2715;0.08;8.19;8.35;925.49981;89.03;1822.0;--;EQUATORIAL PIAUI DISTRIBUIDORA DE ENERGIA S.A (*)
consultoria;IPCA SPREAD;CPLD26;2026-05-19;2031-06-15;IPCA + 4,7742%;8.0303;7.7573;7.9311;0.05;7.87;7.99;1205.858832;89.8;907.0;--;COPEL DISTRIBUICAO S/A (*)
consultoria;IPCA SPREAD;CPLD29;2026-05-19;2036-05-15;IPCA + 6,2831%;8.0302;7.7875;7.8959;0.11;7.77;8.01;1004.25912;91.35;1498.0;--;COPEL DISTRIBUICAO S/A (*)
consultoria;DI SPREAD;CPLDA0;2026-05-19;2030-07-15;DI + 0,4300%;0.9288;0.5055;0.6815;0.05;0.62;0.73;1041.217011;99.37;636.0;--;COPEL DISTRIBUICAO S/A (*)
consultoria;IPCA SPREAD;CPLDC0;2026-05-19;2037-07-15;IPCA + 6,9543%;7.9491;7.7149;7.8273;0.14;7.67;7.97;1007.024183;94.77;1651.0;5%;COPEL DISTRIBUICAO S/A (*)
consultoria;IPCA SPREAD;CRTA12;2026-05-19;2043-12-15;IPCA + 7,7178%;8.8446;8.6238;8.736;0.06;8.66;8.8;1028.305149;92.71;1995.0;5%;CONCESSIONARIA ROTA DO OESTE S.A. (*)
consultoria;DI SPREAD;CSAN18;2026-05-19;2031-01-21;DI + 1,8000%;2.6884;2.047;2.4213;0.1;2.31;2.52;1030.669594;98.16;763.0;5%;COSAN S.A. (*)
consultoria;DI SPREAD;CSMGB6;2026-05-19;2026-09-15;DI + 1,3000%;0.9067;0.6259;0.7562;0.04;0.71;0.79;157.979063;100.1;49.0;--;CIA DE SANEAMENTO DE M.GERAIS COPASA MG (*)
consultoria;IPCA SPREAD;CSNAB5;2026-05-19;2039-04-15;IPCA + 6,9924%;;13.0318;14.1788;0.88;13.29;15.06;674.850808;60.81;1778.0;--;COMPANHIA SIDERÚRGICA NACIONAL (*)
consultoria;IPCA SPREAD;CSRNA4;2026-05-19;2031-03-15;IPCA + 7,0099%;8.1749;7.9194;8.0402;0.05;7.98;8.09;984.116158;96.07;1052.0;--;COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*)
consultoria;IPCA SPREAD;CSRNB2;2026-05-19;2034-03-15;IPCA + 6,0691%;8.2643;8.0313;8.1434;0.02;8.11;8.16;1003.481271;89.78;1390.0;--;COMPANHIA ENERGÉTICA DO R. G. N. - COSERN (*)
consultoria;IPCA SPREAD;CTNSA3;2026-05-19;2035-05-15;IPCA + 7,3000%;8.2803;7.9978;8.1401;0.05;8.08;8.19;994.338653;95.31;1542.0;10%;ENERGISA TOCANTINS - DISTRIBUIDORA DE ENERGIA S.A (*)
consultoria;IPCA SPREAD;DESK18;2026-05-19;2032-06-15;IPCA + 7,9356%;8.4568;8.1702;8.25;0.03;8.21;8.28;1060.247829;98.71;1119.0;40%;DESKTOP S/A (*)
consultoria;DI SPREAD;EBENA6;2026-05-19;2028-03-04;DI + 0,8900%;0.864;0.3398;0.5969;0.09;0.5;0.68;1033.413897;100.34;295.0;--;EDP SÃO PAULO DISTRIBUIÇÃO DE ENERGIA S.A. (*)
consultoria;IPCA SPREAD;ECPN11;2026-05-19;2034-10-15;IPCA + 4,4000%;9.8574;9.5529;9.6802;0.02;9.65;9.7;1050.443644;79.27;1143.0;--;CONCESSIONARIA PONTE RIO-NITEROI S.A. - ECOPONTE
consultoria;DI SPREAD;EDPR13;2026-05-19;2030-12-10;DI + 0,5200%;0.7494;0.5784;0.6588;0.01;0.64;0.67;1054.899749;99.67;598.0;--;EDP TRANSMISSAO GOIAS S.A. (*)
consultoria;DI SPREAD;EDPR23;2026-05-19;2032-12-10;DI + 0,6000%;;;;;;;;;;--;EDP TRANSMISSAO GOIAS S.A. (*)
consultoria;IPCA SPREAD;EKTRB3;2026-05-19;2034-04-15;IPCA + 6,2587%;8.2436;8.0288;8.1334;0.03;8.1;8.16;1004.450479;90.63;1406.0;--;ELEKTRO REDES S.A. (*)
consultoria;IPCA SPREAD;EKTRC0;2026-05-19;2031-10-15;IPCA + 5,7697%;8.1436;7.9757;8.0298;0.07;7.95;8.1;1176.08117;92.1;975.0;--;ELEKTRO REDES S.A. (*)
consultoria;IPCA SPREAD;EKTT11;2026-05-19;2038-05-15;IPCA + 6,4217%;8.3171;7.9508;8.1289;0.05;8.07;8.18;1139.080554;91.6;1364.0;10%;EKTT 9 SERV DE TRANS DE E E SPE S.A. (*)
consultoria;IPCA SPREAD;ELDC15;2026-05-19;2035-10-15;IPCA + 7,7950%;8.9387;8.7577;8.8868;0.07;8.81;8.95;976.043231;93.9;1561.0;--;ELDORADO BRASIL CELULOSE S.A. (*)
consultoria;IPCA SPREAD;ELET23;2026-05-19;2031-04-15;IPCA + 4,9126%;7.9844;7.6921;7.8011;0.06;7.73;7.86;1191.574916;88.83;1093.0;45%;CENTRAIS ELETRICAS BRASILEIRAS S/A ELETROBRAS
consultoria;IPCA SPREAD;ELTN37;2026-05-19;2035-07-15;IPCA + 7,2083%;7.8925;7.6114;7.7401;0.09;7.64;7.83;1028.515118;96.74;1677.0;15%;CENTRAIS ELETRICAS DO NORTE DO BRASIL S/A - ELETRONORTE (*)
consultoria;IPCA SPREAD;ENAT13;2026-05-19;2030-06-15;IPCA + 8,0618%;9.2146;8.8247;8.9979;0.07;8.92;9.07;1099.64008;97.09;860.0;--;ENAUTA PARTICIPACOES S.A. (*)
consultoria;IPCA SPREAD;ENAT33;2026-05-19;2034-06-15;IPCA + 8,2620%;9.0838;8.7735;8.9297;0.13;8.79;9.06;1097.183405;96.8;1328.0;--;ENAUTA PARTICIPACOES S.A. (*)
consultoria;PREFIXADO;ENERB6;2026-05-19;2032-05-15;PREFIXADO + 13,7000%;14.2119;13.6936;13.91;0.21;13.69;14.12;993.126581;99.21;1080.0;--;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A. (*)
consultoria;DI SPREAD;ENERC3;2026-05-19;2029-09-04;DI + 0,8000%;0.7011;0.5181;0.6206;0.02;0.59;0.65;1034.573619;100.47;667.0;--;ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.
consultoria;IPCA SPREAD;ENEV19;2026-05-19;2032-09-15;IPCA + 6,9000%;8.1936;7.9259;8.0064;0.09;7.9;8.1;1150.49682;95.51;1119.0;35%;ENEVA S.A. (*)
consultoria;IPCA SPREAD;ENEV26;2026-05-19;2035-09-15;IPCA + 4,5034%;8.1522;7.8695;7.9984;0.06;7.93;8.06;1137.302424;79.81;1699.0;--;ENEVA S.A.
consultoria;IPCA SPREAD;ENGIA6;2026-05-19;2029-04-15;IPCA + 6,1566%;8.2136;7.9453;8.0742;0.03;8.03;8.1;1161.766191;96.85;449.0;35%;ENERGISA S/A
consultoria;IPCA SPREAD;ENGIB6;2026-05-19;2032-04-15;IPCA + 6,2770%;8.2196;7.9565;8.1069;0.05;8.05;8.16;1116.189042;93.04;1060.0;--;ENERGISA S/A
consultoria;DI SPREAD;ENGIB8;2026-05-19;2028-06-20;DI + 2,1000%;1.0816;;0.7947;0.26;0.52;1.06;1088.366578;102.26;439.0;--;ENERGISA S/A
consultoria;DI SPREAD;ENGIC6;2026-05-19;2027-04-15;DI + 1,5000%;0.6;0.279;0.4762;0.08;0.39;0.55;1022.152714;100.88;218.0;--;ENERGISA S/A
consultoria;DI SPREAD;ENGIC9;2026-05-19;2028-09-15;DI + 1,4500%;0.75;0.5133;0.6324;0.09;0.54;0.72;1042.738425;101.62;503.0;--;ENERGISA S/A
consultoria;DI SPREAD;ENGID3;2026-05-19;2032-02-25;DI + 0,9500%;0.8805;0.65;0.7679;0.03;0.73;0.8;1040.422368;100.71;993.0;--;ENERGISA S/A
consultoria;DI SPREAD;ENMTA8;2026-05-19;2029-04-15;DI + 0,7500%;0.7151;0.5185;0.6212;0.03;0.59;0.65;1015.715744;100.31;612.0;--;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.
consultoria;IPCA SPREAD;ENMTE6;2026-05-19;2035-10-15;IPCA + 7,2318%;8.2236;8.0288;8.1284;0.05;8.07;8.18;980.361865;94.41;1729.0;5%;ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A. (*)
consultoria;IPCA SPREAD;EPRL12;2026-05-19;2049-03-15;IPCA + 8,2030%;8.8271;8.4635;8.6349;0.02;8.61;8.65;1009.4191;96.47;2247.0;--;EPR LITORAL PIONEIRO S.A. (*)
consultoria;IPCA SPREAD;EQSP11;2026-05-19;2033-01-15;IPCA + 4,8000%;8.2104;7.9068;8.0914;0.06;8.02;8.15;1012.796004;90.66;784.0;--;EQUATORIAL TRANSMISSORA 3 SPE S.A.
consultoria;IPCA SPREAD;EXTZ11;2026-05-19;2029-01-15;IPCA + 7,0291%;7.8205;7.4204;7.4578;0.25;7.19;7.71;589.813558;99.35;408.0;--;EXTREMOZ TRANSMISSORA DO NORDESTE ETN S.A. (*) (**)
consultoria;DI SPREAD;GGBRA7;2026-05-19;2029-05-29;DI + 0,6000%;0.5124;0.2372;0.3955;0.09;0.3;0.48;1072.448411;100.48;601.0;--;GERDAU S/A (*)
consultoria;DI SPREAD;HAPV28;2026-05-19;2032-10-15;DI + 1,2000%;5.7056;4.0;4.8975;0.17;4.72;5.07;872.103656;86.09;1028.0;--;HAPVIDA PARTICIPACOES E INVESTIMENTOS S/A (*)
consultoria;DI SPREAD;HYPEA8;2026-05-19;2029-05-03;DI + 0,8500%;1.1101;0.7223;0.895;0.06;0.82;0.96;1005.313206;99.9;532.0;--;HYPERA S/A (*)
consultoria;IPCA SPREAD;IBPB11;2026-05-19;2040-11-15;IPCA + 5,9000%;8.2987;7.9661;8.135;0.06;8.06;8.2;1116.602609;87.76;1532.0;--;SERRA DE IBIAPABA TRANSMISSORA DE ENERGIA S.A. (*) (**)
consultoria;IPCA SPREAD;IGSN15;2026-05-19;2034-07-15;IPCA + 6,1000%;12.2613;11.3464;12.0193;0.47;11.54;12.49;1002.700136;81.45;912.0;--;IGUA SANEAMENTO S.A
consultoria;DI SPREAD;ITSA18;2026-05-19;2035-09-12;DI + 0,6000%;;0.6244;0.7113;0.02;0.68;0.73;1095.949682;99.49;1158.0;--;ITAUSA S/A (*)
consultoria;IPCA SPREAD;IVIAA0;2026-05-19;2038-05-15;IPCA + 6,8672%;9.2571;8.9751;9.1112;0.07;9.03;9.18;968.882631;88.27;1482.0;5%;CONC. RODOV. INTERI. PAULISTA S/A (*)
consultoria;IPCA SPREAD;JALL14;2026-05-19;2030-10-15;IPCA + 7,1163%;8.6065;8.4304;8.5236;0.05;8.46;8.58;1083.831999;95.13;959.0;--;JALLES MACHADO S.A. (*)
consultoria;IPCA SPREAD;JSMLB5;2026-05-19;2031-09-15;IPCA + 7,9677%;;;;;;;;;;--;SIMPAR S.A. (*)
consultoria;IPCA SPREAD;JTEE12;2026-05-19;2044-12-15;IPCA + 4,8295%;7.7818;7.6657;7.7037;0.02;7.68;7.72;1328.512405;82.25;1724.0;--;JANAUBA TRANSMISSORA DE ENERGIA ELETRICA  S/A (*)
consultoria;IPCA SPREAD;LGEN11;2026-05-19;2029-03-15;IPCA + 7,3287%;8.2002;7.8907;8.0694;0.04;8.02;8.11;792.798208;99.15;311.0;--;LAGOA 1 ENERGIA RENOVAVEL S.A.
consultoria;DI SPREAD;LMTPB1;2026-05-19;2030-01-17;DI + 1,7000%;2.5019;1.2678;1.9111;0.12;1.78;2.03;1044.838168;99.42;698.0;10%;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIOS S.A. (*)
consultoria;DI SPREAD;LMTPB2;2026-05-19;2030-09-23;DI + 1,5000%;3.0401;1.7638;2.0074;0.11;1.88;2.12;1006.634157;98.39;814.0;--;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIOS S.A. (*)
consultoria;DI SPREAD;LORTB2;2026-05-19;2028-12-05;DI + 1,8700%;1.5;1.3013;1.402;0.01;1.38;1.42;1080.774617;100.94;515.0;35%;LOCALIZA RENT A CAR (*)
consultoria;IPCA SPREAD;MGPRA0;2026-05-19;2042-03-15;IPCA + 7,8868%;9.3191;9.0795;9.1579;0.02;9.12;9.18;987.279221;91.05;1981.0;40%;CONCESSÃO METROVIÁRIA DO R. JANEIRO S/A (*)
consultoria;DI SPREAD;MILS19;2026-05-19;2029-06-20;DI + 1,3000%;1.4;1.0014;1.2;0.0;1.2;1.2;1063.165027;100.2;525.0;--;MILLS ESTR. E SERVIÇOS DE ENGENHARIA S/A (*)
consultoria;DI SPREAD;MOVI34;2026-05-19;2027-07-27;DI + 2,0500%;2.2772;1.0569;1.6207;0.13;1.48;1.75;700.566743;100.26;159.0;5%;MOVIDA PARTICIPACOES S/A (*) (**)
consultoria;DI SPREAD;MOVIA2;2026-05-19;2026-10-15;DI + 2,1000%;2.2256;0.8569;1.6548;0.33;1.32;1.98;507.784602;100.18;104.0;40%;MOVIDA PARTICIPACOES S/A (*)
consultoria;DI SPREAD;MRFGA1;2026-05-19;2027-11-11;DI + 1,5500%;1.2151;0.8976;1.0455;0.02;1.01;1.07;1008.227953;100.46;234.0;35%;MARFRIG GLOBAL FOODS S.A. (*) (**)
consultoria;IPCA SPREAD;MRSAA2;2026-05-19;2034-09-15;IPCA + 6,5251%;7.9781;7.7189;7.8327;0.05;7.77;7.88;1016.626238;92.44;1612.0;--;MRS LOGÍSTICA S/A (*)
consultoria;DI SPREAD;MULTA5;2026-05-19;2031-10-15;DI + 0,5500%;0.7;0.5;0.6;0.0;0.6;0.6;1010.708451;99.83;840.0;--;MULTIPLAN EMPREENDIMENTOS IMOBILIÁRIOS S/A (*) (**)
consultoria;DI SPREAD;MVLVA3;2026-05-19;2027-08-10;DI + 2,5000%;2.6208;2.3061;2.4714;0.03;2.43;2.5;1042.952297;100.03;280.0;50%;MOVIDA PARTICIPACOES S/A (*)
consultoria;DI SPREAD;NIGP12;2026-05-19;2032-03-24;DI + 1,9000%;1.2873;0.8196;1.0437;0.04;0.99;1.08;1053.295037;102.96;874.0;35%;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*)
consultoria;DI SPREAD;NTSD35;2026-05-19;2032-09-13;DI + 1,8500%;1.2;0.7918;1.0044;0.0;0.99;1.01;1058.322075;103.01;900.0;--;NOVA TRANSPORTE DO SUDESTE S.A. - NTS (*)
consultoria;DI SPREAD;OMGE27;2026-05-19;2033-02-15;DI + 1,0200%;;;;;;;;;;--;OMEGA GERAÇÃO S/A (*)
consultoria;IPCA SPREAD;ONZE21;2026-05-19;2048-06-15;IPCA + 8,7400%;8.4571;8.0524;8.2969;0.09;8.19;8.39;1108.063485;103.3;2026.0;--;BLOCO DE ONZE AEROPORTOS DO BRASIL S.A (*)
consultoria;DI SPREAD;OPCT16;2026-05-19;2029-12-18;DI + 2,5000%;1.6581;1.3444;1.4941;0.04;1.45;1.53;1021.993496;102.13;540.0;--;OCEANPACT SERVICOS MARITIMOS S.A. (*)
consultoria;PREFIXADO;ORIG22;2026-05-19;2035-12-15;PREFIXADO + 15,6300%;;16.3437;16.6477;0.6;16.04;17.25;1024.084387;96.45;1030.0;--;ORIGEM ENERGIA S.A (*)
consultoria;DI SPREAD;OVSAA3;2026-05-19;2028-07-15;DI + 2,4000%;2.5762;1.7631;2.1976;0.01;2.18;2.21;732.031353;100.32;414.0;--;UNIDAS LOCACOES E SERVICOS S.A. (*)
consultoria;IPCA SPREAD;PALF38;2026-05-19;2027-09-15;IPCA + 5,0500%;8.0111;7.7472;7.9627;0.08;7.88;8.04;1027.083184;97.82;201.0;--;COMPANHIA PAULISTA DE FORÇA E LUZ
consultoria;DI SPREAD;PALFA4;2026-05-19;2027-09-05;DI + 0,5500%;0.5022;0.1827;0.3908;0.07;0.31;0.46;441.26409;100.09;157.0;--;COMPANHIA PAULISTA DE FORÇA E LUZ (*)
consultoria;DI SPREAD;PALFA5;2026-05-19;2029-09-10;DI + 0,4900%;0.6;0.4094;0.5124;0.01;0.49;0.52;1026.191994;99.94;578.0;--;COMPANHIA PAULISTA DE FORÇA E LUZ (*)
consultoria;DI SPREAD;PASS13;2026-05-19;2029-03-15;DI + 1,0800%;1.0425;0.7001;0.8839;0.03;0.85;0.91;1030.065881;100.45;589.0;35%;COMPASS GAS E ENERGIA S.A (*)
consultoria;IPCA SPREAD;PAXA12;2026-05-19;2040-02-15;IPCA + 9,5844%;9.3026;8.8934;9.1353;0.19;8.94;9.32;1213.256218;102.7;1643.0;45%;PAX INVESTIMENTOS EM AEROPORTOS S.A (*)
consultoria;IPCA SPREAD;PEJA11;2026-05-19;2032-08-15;IPCA + 7,4100%;8.2647;7.9147;8.136;0.04;8.08;8.18;1181.553288;97.88;798.0;5%;PRIO FORTE S.A (*)
consultoria;PREFIXADO;PEJA12;2026-05-19;2029-02-15;PREFIXADO + 11,1155%;;;14.2331;0.32;13.91;14.55;960.90321;93.66;593.0;--;PRIO FORTE S.A
consultoria;DI SPREAD;PEJA21;2026-05-19;2027-08-15;DI + 2,0500%;1.3965;0.8285;1.1057;0.0;1.09;1.11;1049.812904;101.05;285.0;--;PRIO FORTE S.A (*)
consultoria;IPCA SPREAD;PEJA23;2026-05-19;2034-04-15;IPCA + 6,5102%;8.3897;8.148;8.2841;0.05;8.22;8.33;1014.473682;91.18;1397.0;35%;PRIO FORTE S.A (*)
